start_time,away_team,home_team,away_team_score,home_team_score
2018-10-17 00:00:00+00:00,PHILADELPHIA 76ERS,BOSTON CELTICS,87,105
2018-10-17 02:30:00+00:00,OKLAHOMA CITY THUNDER,GOLDEN STATE WARRIORS,100,108
2018-10-17 23:00:00+00:00,MILWAUKEE BUCKS,CHARLOTTE HORNETS,113,112
2018-10-17 23:00:00+00:00,BROOKLYN NETS,DETROIT PISTONS,100,103
2018-10-17 23:00:00+00:00,MEMPHIS GRIZZLIES,INDIANA PACERS,83,111
2018-10-17 23:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC,101,104
2018-10-17 23:30:00+00:00,ATLANTA HAWKS,NEW YORK KNICKS,107,126
2018-10-17 23:30:00+00:00,CLEVELAND CAVALIERS,TORONTO RAPTORS,104,116
2018-10-18 00:00:00+00:00,NEW ORLEANS PELICANS,HOUSTON ROCKETS,131,112
2018-10-18 00:30:00+00:00,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,108,112
2018-10-18 02:00:00+00:00,UTAH JAZZ,SACRAMENTO KINGS,123,117
2018-10-18 02:30:00+00:00,DENVER NUGGETS,LOS ANGELES CLIPPERS,107,98
2018-10-18 02:30:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS,100,121
2018-10-19 00:00:00+00:00,CHICAGO BULLS,PHILADELPHIA 76ERS,108,127
2018-10-19 00:00:00+00:00,MIAMI HEAT,WASHINGTON WIZARDS,113,112
2018-10-19 02:30:00+00:00,LOS ANGELES LAKERS,PORTLAND TRAIL BLAZERS,119,128
2018-10-19 23:00:00+00:00,CHARLOTTE HORNETS,ORLANDO MAGIC,120,88
2018-10-19 23:30:00+00:00,NEW YORK KNICKS,BROOKLYN NETS,105,107
2018-10-20 00:00:00+00:00,ATLANTA HAWKS,MEMPHIS GRIZZLIES,117,131
2018-10-20 00:00:00+00:00,CLEVELAND CAVALIERS,MINNESOTA TIMBERWOLVES,123,131
2018-10-20 00:00:00+00:00,SACRAMENTO KINGS,NEW ORLEANS PELICANS,129,149
2018-10-20 00:00:00+00:00,BOSTON CELTICS,TORONTO RAPTORS,101,113
2018-10-20 00:30:00+00:00,INDIANA PACERS,MILWAUKEE BUCKS,101,118
2018-10-20 02:30:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,92,108
2018-10-20 02:30:00+00:00,GOLDEN STATE WARRIORS,UTAH JAZZ,124,123
2018-10-20 23:00:00+00:00,BROOKLYN NETS,INDIANA PACERS,112,132
2018-10-20 23:00:00+00:00,TORONTO RAPTORS,WASHINGTON WIZARDS,117,113
2018-10-20 23:30:00+00:00,BOSTON CELTICS,NEW YORK KNICKS,103,101
