start_time,away_team,home_team,away_team_score,home_team_score
2021-01-01 02:00:00+00:00,PHOENIX SUNS,UTAH JAZZ,106,95
2021-01-02 00:00:00+00:00,MEMPHIS GRIZZLIES,CHARLOTTE HORNETS,108,93
2021-01-02 00:00:00+00:00,MIAMI HEAT,DALLAS MAVERICKS,83,93
2021-01-02 00:00:00+00:00,BOSTON CELTICS,DETROIT PISTONS,93,96
2021-01-02 00:30:00+00:00,ATLANTA HAWKS,BROOKLYN NETS,114,96
2021-01-02 01:00:00+00:00,CHICAGO BULLS,MILWAUKEE BUCKS,96,126
2021-01-02 01:00:00+00:00,WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES,130,109
2021-01-02 01:00:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS,109,103
2021-01-02 02:00:00+00:00,PHOENIX SUNS,DENVER NUGGETS,106,103
2021-01-02 02:00:00+00:00,LOS ANGELES CLIPPERS,UTAH JAZZ,100,106
2021-01-02 03:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,123,98
2021-01-02 22:00:00+00:00,SACRAMENTO KINGS,HOUSTON ROCKETS,94,102
2021-01-03 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS,106,102
2021-01-03 00:00:00+00:00,OKLAHOMA CITY THUNDER,ORLANDO MAGIC,108,99
2021-01-03 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS,112,127
2021-01-03 00:30:00+00:00,CLEVELAND CAVALIERS,ATLANTA HAWKS,96,91
2021-01-03 00:30:00+00:00,TORONTO RAPTORS,NEW ORLEANS PELICANS,116,120
2021-01-03 20:00:00+00:00,BOSTON CELTICS,DETROIT PISTONS,122,120
2021-01-03 23:00:00+00:00,WASHINGTON WIZARDS,BROOKLYN NETS,123,122
2021-01-03 23:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,108,94
2021-01-04 00:00:00+00:00,DENVER NUGGETS,MINNESOTA TIMBERWOLVES,124,109
2021-01-04 00:00:00+00:00,UTAH JAZZ,SAN ANTONIO SPURS,130,109
2021-01-04 01:00:00+00:00,DALLAS MAVERICKS,CHICAGO BULLS,108,118
2021-01-04 01:00:00+00:00,LOS ANGELES CLIPPERS,PHOENIX SUNS,112,107
2021-01-04 01:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,122,137
2021-01-05 00:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC,83,103
2021-01-05 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS,101,118
2021-01-05 00:30:00+00:00,NEW YORK KNICKS,ATLANTA HAWKS,113,108
2021-01-05 00:30:00+00:00,OKLAHOMA CITY THUNDER,MIAMI HEAT,90,118
2021-01-05 00:30:00+00:00,BOSTON CELTICS,TORONTO RAPTORS,126,114
2021-01-05 01:00:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS,113,100
2021-01-05 01:00:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS,115,125
2021-01-05 01:00:00+00:00,INDIANA PACERS,NEW ORLEANS PELICANS,118,116
2021-01-05 03:00:00+00:00,SACRAMENTO KINGS,GOLDEN STATE WARRIORS,106,137
2021-01-06 00:30:00+00:00,UTAH JAZZ,BROOKLYN NETS,96,130
2021-01-06 01:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,94,92
2021-01-06 02:00:00+00:00,MINNESOTA TIMBERWOLVES,DENVER NUGGETS,116,123
2021-01-06 03:00:00+00:00,SAN ANTONIO SPURS,LOS ANGELES CLIPPERS,116,113
2021-01-06 03:30:00+00:00,CHICAGO BULLS,PORTLAND TRAIL BLAZERS,111,108
2021-01-07 00:00:00+00:00,HOUSTON ROCKETS,INDIANA PACERS,107,114
