start_time,away_team,home_team,away_team_score,home_team_score
2014-10-29 00:00:00+00:00,ORLANDO MAGIC,NEW ORLEANS PELICANS,84,101
2014-10-29 00:00:00+00:00,DALLAS MAVERICKS,SAN ANTONIO SPURS,100,101
2014-10-29 02:30:00+00:00,HOUSTON ROCKETS,LOS ANGELES LAKERS,108,90
2014-10-29 23:00:00+00:00,MILWAUKEE BUCKS,CHARLOTTE HORNETS,106,108
2014-10-29 23:00:00+00:00,PHILADELPHIA 76ERS,INDIANA PACERS,91,103
2014-10-29 23:30:00+00:00,ATLANTA HAWKS,TORONTO RAPTORS,102,109
2014-10-29 23:30:00+00:00,WASHINGTON WIZARDS,MIAMI HEAT,95,107
2014-10-29 23:30:00+00:00,BROOKLYN NETS,BOSTON CELTICS,105,121
2014-10-30 00:00:00+00:00,CHICAGO BULLS,NEW YORK KNICKS,104,80
2014-10-30 00:00:00+00:00,MINNESOTA TIMBERWOLVES,MEMPHIS GRIZZLIES,101,105
2014-10-30 01:00:00+00:00,DETROIT PISTONS,DENVER NUGGETS,79,89
2014-10-30 01:00:00+00:00,HOUSTON ROCKETS,UTAH JAZZ,104,93
2014-10-30 02:00:00+00:00,LOS ANGELES LAKERS,PHOENIX SUNS,99,119
2014-10-30 02:00:00+00:00,GOLDEN STATE WARRIORS,SACRAMENTO KINGS,95,77
2014-10-30 02:30:00+00:00,OKLAHOMA CITY THUNDER,PORTLAND TRAIL BLAZERS,89,106
2014-10-30 23:00:00+00:00,WASHINGTON WIZARDS,ORLANDO MAGIC,105,98
2014-10-31 00:00:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,95,90
2014-10-31 00:00:00+00:00,DETROIT PISTONS,MINNESOTA TIMBERWOLVES,91,97
2014-10-31 00:30:00+00:00,UTAH JAZZ,DALLAS MAVERICKS,102,120
2014-10-31 02:30:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,90,93
2014-10-31 23:00:00+00:00,MEMPHIS GRIZZLIES,INDIANA PACERS,97,89
2014-11-01 00:00:00+00:00,CLEVELAND CAVALIERS,CHICAGO BULLS,114,108
2014-11-01 00:30:00+00:00,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,81,93
2014-11-01 02:00:00+00:00,SAN ANTONIO SPURS,PHOENIX SUNS,89,94
2014-11-01 02:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,94,103
2014-11-01 02:30:00+00:00,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,118,111
2014-11-01 23:00:00+00:00,MEMPHIS GRIZZLIES,CHARLOTTE HORNETS,71,69
2014-11-01 23:00:00+00:00,DALLAS MAVERICKS,NEW ORLEANS PELICANS,109,104
