start_time,away_team,home_team,away_team_score,home_team_score
2016-10-25 23:30:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,88,117
2016-10-26 02:00:00+00:00,UTAH JAZZ,PORTLAND TRAIL BLAZERS,104,113
2016-10-26 02:30:00+00:00,SAN ANTONIO SPURS,GOLDEN STATE WARRIORS,129,100
2016-10-26 23:00:00+00:00,DALLAS MAVERICKS,INDIANA PACERS,121,130
2016-10-26 23:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC,108,96
2016-10-26 23:30:00+00:00,DETROIT PISTONS,TORONTO RAPTORS,91,109
2016-10-26 23:30:00+00:00,BROOKLYN NETS,BOSTON CELTICS,117,122
2016-10-27 00:00:00+00:00,CHARLOTTE HORNETS,MILWAUKEE BUCKS,107,96
2016-10-27 00:00:00+00:00,DENVER NUGGETS,NEW ORLEANS PELICANS,107,102
2016-10-27 00:00:00+00:00,MINNESOTA TIMBERWOLVES,MEMPHIS GRIZZLIES,98,102
2016-10-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,PHILADELPHIA 76ERS,103,97
2016-10-27 02:00:00+00:00,SACRAMENTO KINGS,PHOENIX SUNS,113,94
2016-10-27 02:30:00+00:00,HOUSTON ROCKETS,LOS ANGELES LAKERS,114,120
2016-10-27 23:30:00+00:00,WASHINGTON WIZARDS,ATLANTA HAWKS,99,114
2016-10-28 00:00:00+00:00,BOSTON CELTICS,CHICAGO BULLS,99,105
2016-10-28 02:30:00+00:00,LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,114,106
2016-10-28 02:30:00+00:00,SAN ANTONIO SPURS,SACRAMENTO KINGS,102,94
2016-10-28 23:00:00+00:00,CLEVELAND CAVALIERS,TORONTO RAPTORS,94,91
2016-10-28 23:30:00+00:00,INDIANA PACERS,BROOKLYN NETS,94,103
2016-10-28 23:30:00+00:00,ORLANDO MAGIC,DETROIT PISTONS,82,108
2016-10-29 00:00:00+00:00,PHOENIX SUNS,OKLAHOMA CITY THUNDER,110,113
2016-10-29 00:00:00+00:00,CHARLOTTE HORNETS,MIAMI HEAT,97,91
2016-10-29 00:30:00+00:00,HOUSTON ROCKETS,DALLAS MAVERICKS,106,98
2016-10-29 01:00:00+00:00,LOS ANGELES LAKERS,UTAH JAZZ,89,96
2016-10-29 01:30:00+00:00,GOLDEN STATE WARRIORS,NEW ORLEANS PELICANS,122,114
2016-10-29 16:30:00+00:00,ATLANTA HAWKS,PHILADELPHIA 76ERS,104,72
2016-10-29 23:00:00+00:00,BOSTON CELTICS,CHARLOTTE HORNETS,104,98
2016-10-29 23:30:00+00:00,ORLANDO MAGIC,CLEVELAND CAVALIERS,99,105
2016-10-29 23:30:00+00:00,MEMPHIS GRIZZLIES,NEW YORK KNICKS,104,111
2016-10-30 00:00:00+00:00,NEW ORLEANS PELICANS,SAN ANTONIO SPURS,79,98
2016-10-30 00:00:00+00:00,BROOKLYN NETS,MILWAUKEE BUCKS,108,110
2016-10-30 00:00:00+00:00,INDIANA PACERS,CHICAGO BULLS,101,118
2016-10-30 01:00:00+00:00,PORTLAND TRAIL BLAZERS,DENVER NUGGETS,115,113
2016-10-30 02:30:00+00:00,MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,103,106
2016-10-30 20:30:00+00:00,UTAH JAZZ,LOS ANGELES CLIPPERS,75,88
2016-10-30 22:00:00+00:00,MILWAUKEE BUCKS,DETROIT PISTONS,83,98
2016-10-30 22:00:00+00:00,SAN ANTONIO SPURS,MIAMI HEAT,106,99
2016-10-30 22:00:00+00:00,GOLDEN STATE WARRIORS,PHOENIX SUNS,106,100
2016-10-30 23:00:00+00:00,LOS ANGELES LAKERS,OKLAHOMA CITY THUNDER,96,113
2016-10-31 00:00:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS,92,93
2016-10-31 00:00:00+00:00,WASHINGTON WIZARDS,MEMPHIS GRIZZLIES,103,112
2016-10-31 23:30:00+00:00,SACRAMENTO KINGS,ATLANTA HAWKS,95,106
2016-10-31 23:30:00+00:00,CHICAGO BULLS,BROOKLYN NETS,118,88
2016-10-31 23:30:00+00:00,DENVER NUGGETS,TORONTO RAPTORS,102,105
2016-11-01 02:30:00+00:00,PHOENIX SUNS,LOS ANGELES CLIPPERS,98,116
2016-11-01 22:00:00+00:00,HOUSTON ROCKETS,CLEVELAND CAVALIERS,120,128
2016-11-01 23:00:00+00:00,LOS ANGELES LAKERS,INDIANA PACERS,108,115
2016-11-01 23:00:00+00:00,ORLANDO MAGIC,PHILADELPHIA 76ERS,103,101
2016-11-01 23:30:00+00:00,NEW YORK KNICKS,DETROIT PISTONS,89,102
2016-11-01 23:30:00+00:00,SACRAMENTO KINGS,MIAMI HEAT,96,108
2016-11-02 00:00:00+00:00,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,80,116
2016-11-02 00:00:00+00:00,MILWAUKEE BUCKS,NEW ORLEANS PELICANS,117,113
2016-11-02 00:30:00+00:00,UTAH JAZZ,SAN ANTONIO SPURS,106,91
2016-11-02 02:00:00+00:00,GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,127,104
2016-11-02 23:00:00+00:00,PHILADELPHIA 76ERS,CHARLOTTE HORNETS,93,109
2016-11-02 23:00:00+00:00,TORONTO RAPTORS,WASHINGTON WIZARDS,113,103
2016-11-02 23:30:00+00:00,LOS ANGELES LAKERS,ATLANTA HAWKS,123,116
2016-11-02 23:30:00+00:00,DETROIT PISTONS,BROOKLYN NETS,101,109
2016-11-02 23:30:00+00:00,HOUSTON ROCKETS,NEW YORK KNICKS,118,99
2016-11-03 00:00:00+00:00,CHICAGO BULLS,BOSTON CELTICS,100,107
