slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
johnsst04,Stanley Johnson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,DETROIT PISTONS,48,7,961,133,349,51,181,41,51,25,150,60,48,13,55,92,358
johnsst04,Stanley Johnson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,NEW ORLEANS PELICANS,18,0,247,38,91,11,34,9,13,9,33,28,12,1,26,22,96
johnsty01,Tyler Johnson,[<Position.POINT_GUARD: 'POINT GUARD'>],26,MIAMI HEAT,44,10,1123,171,401,72,204,61,88,19,102,112,40,21,63,72,475
johnsty01,Tyler Johnson,[<Position.POINT_GUARD: 'POINT GUARD'>],26,PHOENIX SUNS,13,12,406,46,125,18,56,34,39,15,37,54,14,6,14,25,144
johnswe01,Wesley Johnson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,NEW ORLEANS PELICANS,26,13,377,35,88,19,50,6,9,10,44,16,12,7,12,45,95
johnswe01,Wesley Johnson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,WASHINGTON WIZARDS,12,0,157,10,40,6,26,7,10,2,16,7,2,5,6,18,33
jokicni01,Nikola Jokić,[<Position.CENTER: 'CENTER'>],23,DENVER NUGGETS,80,80,2504,616,1206,83,270,289,352,228,637,580,108,55,248,228,1604
jonesda03,Damian Jones,[<Position.CENTER: 'CENTER'>],23,GOLDEN STATE WARRIORS,24,22,410,53,74,0,0,24,37,31,44,28,12,25,16,63,130
jonesde02,Derrick Jones Jr.,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,MIAMI HEAT,60,14,1153,160,324,28,91,74,122,96,144,37,46,42,43,123,422
jonesja04,Jalen Jones,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,CLEVELAND CAVALIERS,16,0,214,26,62,10,28,19,27,11,23,7,9,2,8,27,81
jonesje01,Jemerrio Jones,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,LOS ANGELES LAKERS,6,2,143,12,33,2,10,1,2,16,33,13,7,5,5,10,27
joneste01,Terrence Jones,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,HOUSTON ROCKETS,2,0,5,1,4,0,2,0,1,0,4,0,0,0,1,1,2
jonesty01,Tyus Jones,[<Position.POINT_GUARD: 'POINT GUARD'>],22,MINNESOTA TIMBERWOLVES,68,23,1560,185,446,40,126,58,69,23,111,327,81,5,47,78,468
jordade01,DeAndre Jordan,[<Position.CENTER: 'CENTER'>],30,DALLAS MAVERICKS,50,50,1554,208,323,0,0,135,198,161,525,99,33,53,111,125,551
