start_time,away_team,home_team,away_team_score,home_team_score
2015-10-28 00:00:00+00:00,CLEVELAND CAVALIERS,CHICAGO BULLS,95,97
2015-10-28 00:00:00+00:00,DETROIT PISTONS,ATLANTA HAWKS,106,94
2015-10-28 02:30:00+00:00,NEW ORLEANS PELICANS,GOLDEN STATE WARRIORS,95,111
2015-10-28 23:00:00+00:00,WASHINGTON WIZARDS,ORLANDO MAGIC,88,87
2015-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,BOSTON CELTICS,95,112
2015-10-28 23:30:00+00:00,CHICAGO BULLS,BROOKLYN NETS,115,100
2015-10-28 23:30:00+00:00,UTAH JAZZ,DETROIT PISTONS,87,92
2015-10-28 23:30:00+00:00,INDIANA PACERS,TORONTO RAPTORS,99,106
2015-10-28 23:30:00+00:00,CHARLOTTE HORNETS,MIAMI HEAT,94,104
2015-10-29 00:00:00+00:00,NEW YORK KNICKS,MILWAUKEE BUCKS,122,97
2015-10-29 00:00:00+00:00,SAN ANTONIO SPURS,OKLAHOMA CITY THUNDER,106,112
2015-10-29 00:00:00+00:00,CLEVELAND CAVALIERS,MEMPHIS GRIZZLIES,106,76
2015-10-29 00:00:00+00:00,DENVER NUGGETS,HOUSTON ROCKETS,105,85
2015-10-29 02:00:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS,111,95
2015-10-29 02:00:00+00:00,NEW ORLEANS PELICANS,PORTLAND TRAIL BLAZERS,94,112
2015-10-29 02:00:00+00:00,LOS ANGELES CLIPPERS,SACRAMENTO KINGS,111,104
2015-10-29 02:30:00+00:00,MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,112,111
2015-10-29 23:00:00+00:00,MEMPHIS GRIZZLIES,INDIANA PACERS,112,103
2015-10-30 00:00:00+00:00,ATLANTA HAWKS,NEW YORK KNICKS,112,101
2015-10-30 02:30:00+00:00,DALLAS MAVERICKS,LOS ANGELES CLIPPERS,88,104
2015-10-30 23:00:00+00:00,MIAMI HEAT,CLEVELAND CAVALIERS,92,102
2015-10-30 23:00:00+00:00,UTAH JAZZ,PHILADELPHIA 76ERS,99,71
2015-10-30 23:00:00+00:00,OKLAHOMA CITY THUNDER,ORLANDO MAGIC,139,136
2015-10-30 23:30:00+00:00,TORONTO RAPTORS,BOSTON CELTICS,113,103
2015-10-30 23:30:00+00:00,CHICAGO BULLS,DETROIT PISTONS,94,98
2015-10-31 00:00:00+00:00,CHARLOTTE HORNETS,ATLANTA HAWKS,94,97
2015-10-31 00:00:00+00:00,WASHINGTON WIZARDS,MILWAUKEE BUCKS,118,113
2015-10-31 00:30:00+00:00,BROOKLYN NETS,SAN ANTONIO SPURS,75,102
2015-10-31 01:00:00+00:00,MINNESOTA TIMBERWOLVES,DENVER NUGGETS,95,78
2015-10-31 01:30:00+00:00,GOLDEN STATE WARRIORS,HOUSTON ROCKETS,112,92
2015-10-31 02:00:00+00:00,LOS ANGELES LAKERS,SACRAMENTO KINGS,114,132
2015-10-31 02:30:00+00:00,PORTLAND TRAIL BLAZERS,PHOENIX SUNS,92,110
2015-10-31 23:00:00+00:00,UTAH JAZZ,INDIANA PACERS,97,76
2015-10-31 23:00:00+00:00,NEW YORK KNICKS,WASHINGTON WIZARDS,117,110
2015-10-31 23:30:00+00:00,GOLDEN STATE WARRIORS,NEW ORLEANS PELICANS,134,120
2015-11-01 00:00:00+00:00,BROOKLYN NETS,MEMPHIS GRIZZLIES,91,101
2015-11-01 02:00:00+00:00,PHOENIX SUNS,PORTLAND TRAIL BLAZERS,101,90
2015-11-01 02:30:00+00:00,SACRAMENTO KINGS,LOS ANGELES CLIPPERS,109,114
2015-11-01 19:00:00+00:00,ATLANTA HAWKS,CHARLOTTE HORNETS,94,92
2015-11-01 20:30:00+00:00,SAN ANTONIO SPURS,BOSTON CELTICS,95,87
2015-11-01 23:00:00+00:00,HOUSTON ROCKETS,MIAMI HEAT,89,109
2015-11-01 23:00:00+00:00,MILWAUKEE BUCKS,TORONTO RAPTORS,87,106
2015-11-02 00:00:00+00:00,ORLANDO MAGIC,CHICAGO BULLS,87,92
2015-11-02 00:00:00+00:00,DENVER NUGGETS,OKLAHOMA CITY THUNDER,93,117
2015-11-02 02:30:00+00:00,DALLAS MAVERICKS,LOS ANGELES LAKERS,103,93
2015-11-03 00:00:00+00:00,CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,107,100
2015-11-03 00:30:00+00:00,MILWAUKEE BUCKS,BROOKLYN NETS,103,96
2015-11-03 00:30:00+00:00,SAN ANTONIO SPURS,NEW YORK KNICKS,94,84
2015-11-03 01:00:00+00:00,OKLAHOMA CITY THUNDER,HOUSTON ROCKETS,105,110
2015-11-03 01:00:00+00:00,PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,106,101
2015-11-03 03:30:00+00:00,MEMPHIS GRIZZLIES,GOLDEN STATE WARRIORS,69,119
2015-11-03 03:30:00+00:00,PHOENIX SUNS,LOS ANGELES CLIPPERS,96,102
2015-11-04 00:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS,105,130
2015-11-04 00:30:00+00:00,INDIANA PACERS,DETROIT PISTONS,94,82
2015-11-04 00:30:00+00:00,ATLANTA HAWKS,MIAMI HEAT,98,92
2015-11-04 01:00:00+00:00,ORLANDO MAGIC,NEW ORLEANS PELICANS,103,94
2015-11-04 01:30:00+00:00,TORONTO RAPTORS,DALLAS MAVERICKS,102,91
2015-11-04 03:00:00+00:00,MEMPHIS GRIZZLIES,SACRAMENTO KINGS,103,89
2015-11-04 03:30:00+00:00,DENVER NUGGETS,LOS ANGELES LAKERS,120,109
2015-11-05 00:00:00+00:00,BOSTON CELTICS,INDIANA PACERS,98,100
2015-11-05 00:00:00+00:00,SAN ANTONIO SPURS,WASHINGTON WIZARDS,99,102
2015-11-05 01:00:00+00:00,BROOKLYN NETS,ATLANTA HAWKS,87,101
2015-11-05 01:00:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,86,96
2015-11-05 01:00:00+00:00,ORLANDO MAGIC,HOUSTON ROCKETS,114,119
2015-11-05 01:00:00+00:00,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,87,91
2015-11-05 01:00:00+00:00,TORONTO RAPTORS,OKLAHOMA CITY THUNDER,103,98
2015-11-05 02:00:00+00:00,SACRAMENTO KINGS,PHOENIX SUNS,97,118
2015-11-05 02:00:00+00:00,PORTLAND TRAIL BLAZERS,UTAH JAZZ,108,92
2015-11-05 03:30:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS,108,112
2015-11-06 01:00:00+00:00,OKLAHOMA CITY THUNDER,CHICAGO BULLS,98,104
2015-11-06 01:00:00+00:00,MIAMI HEAT,MINNESOTA TIMBERWOLVES,96,84
2015-11-06 01:30:00+00:00,CHARLOTTE HORNETS,DALLAS MAVERICKS,108,94
2015-11-06 02:00:00+00:00,UTAH JAZZ,DENVER NUGGETS,96,84
2015-11-06 03:30:00+00:00,MEMPHIS GRIZZLIES,PORTLAND TRAIL BLAZERS,96,115
2015-11-07 00:00:00+00:00,TORONTO RAPTORS,ORLANDO MAGIC,87,92
2015-11-07 00:30:00+00:00,WASHINGTON WIZARDS,BOSTON CELTICS,98,118
2015-11-07 00:30:00+00:00,LOS ANGELES LAKERS,BROOKLYN NETS,104,98
2015-11-07 00:30:00+00:00,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,102,108
2015-11-07 00:30:00+00:00,MILWAUKEE BUCKS,NEW YORK KNICKS,99,92
2015-11-07 01:00:00+00:00,MIAMI HEAT,INDIANA PACERS,87,90
2015-11-07 01:00:00+00:00,ATLANTA HAWKS,NEW ORLEANS PELICANS,121,115
2015-11-07 02:30:00+00:00,DETROIT PISTONS,PHOENIX SUNS,100,92
2015-11-07 03:30:00+00:00,DENVER NUGGETS,GOLDEN STATE WARRIORS,104,119
2015-11-07 03:30:00+00:00,HOUSTON ROCKETS,SACRAMENTO KINGS,116,110
2015-11-07 23:00:00+00:00,MINNESOTA TIMBERWOLVES,CHICAGO BULLS,102,93
2015-11-08 00:00:00+00:00,ORLANDO MAGIC,PHILADELPHIA 76ERS,105,97
2015-11-08 00:30:00+00:00,WASHINGTON WIZARDS,ATLANTA HAWKS,99,114
2015-11-08 01:30:00+00:00,NEW ORLEANS PELICANS,DALLAS MAVERICKS,98,107
2015-11-08 01:30:00+00:00,BROOKLYN NETS,MILWAUKEE BUCKS,86,94
