start_time,away_team,home_team,away_team_score,home_team_score
2017-10-18 00:01:00+00:00,BOSTON CELTICS,CLEVELAND CAVALIERS,99,102
2017-10-18 02:30:00+00:00,HOUSTON ROCKETS,GOLDEN STATE WARRIORS,122,121
2017-10-18 23:00:00+00:00,CHARLOTTE HORNETS,DETROIT PISTONS,90,102
2017-10-18 23:00:00+00:00,BROOKLYN NETS,INDIANA PACERS,131,140
2017-10-18 23:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC,109,116
2017-10-18 23:00:00+00:00,PHILADELPHIA 76ERS,WASHINGTON WIZARDS,115,120
2017-10-18 23:30:00+00:00,MILWAUKEE BUCKS,BOSTON CELTICS,108,100
2017-10-19 00:00:00+00:00,NEW ORLEANS PELICANS,MEMPHIS GRIZZLIES,91,103
2017-10-19 00:30:00+00:00,ATLANTA HAWKS,DALLAS MAVERICKS,117,111
2017-10-19 01:00:00+00:00,DENVER NUGGETS,UTAH JAZZ,96,106
2017-10-19 01:30:00+00:00,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,99,107
2017-10-19 02:00:00+00:00,PORTLAND TRAIL BLAZERS,PHOENIX SUNS,124,76
2017-10-19 02:00:00+00:00,HOUSTON ROCKETS,SACRAMENTO KINGS,105,100
2017-10-19 23:30:00+00:00,CHICAGO BULLS,TORONTO RAPTORS,100,117
2017-10-20 00:00:00+00:00,NEW YORK KNICKS,OKLAHOMA CITY THUNDER,84,105
2017-10-20 02:30:00+00:00,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,108,92
2017-10-20 23:00:00+00:00,ATLANTA HAWKS,CHARLOTTE HORNETS,91,109
2017-10-20 23:00:00+00:00,PORTLAND TRAIL BLAZERS,INDIANA PACERS,114,96
2017-10-20 23:00:00+00:00,CLEVELAND CAVALIERS,MILWAUKEE BUCKS,116,97
2017-10-20 23:00:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS,102,92
2017-10-20 23:00:00+00:00,DETROIT PISTONS,WASHINGTON WIZARDS,111,115
2017-10-20 23:30:00+00:00,ORLANDO MAGIC,BROOKLYN NETS,121,126
2017-10-21 00:00:00+00:00,UTAH JAZZ,MINNESOTA TIMBERWOLVES,97,100
2017-10-21 00:30:00+00:00,SACRAMENTO KINGS,DALLAS MAVERICKS,93,88
2017-10-21 01:30:00+00:00,GOLDEN STATE WARRIORS,NEW ORLEANS PELICANS,128,120
2017-10-21 02:00:00+00:00,LOS ANGELES LAKERS,PHOENIX SUNS,132,130
2017-10-21 23:30:00+00:00,PHILADELPHIA 76ERS,TORONTO RAPTORS,94,128
2017-10-22 00:00:00+00:00,SAN ANTONIO SPURS,CHICAGO BULLS,87,77
2017-10-22 00:00:00+00:00,ORLANDO MAGIC,CLEVELAND CAVALIERS,114,93
2017-10-22 00:00:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS,91,107
2017-10-22 00:00:00+00:00,GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,101,111
2017-10-22 00:00:00+00:00,INDIANA PACERS,MIAMI HEAT,108,112
2017-10-22 00:00:00+00:00,DETROIT PISTONS,NEW YORK KNICKS,111,107
2017-10-22 00:30:00+00:00,PORTLAND TRAIL BLAZERS,MILWAUKEE BUCKS,110,113
2017-10-22 01:00:00+00:00,SACRAMENTO KINGS,DENVER NUGGETS,79,96
2017-10-22 01:00:00+00:00,OKLAHOMA CITY THUNDER,UTAH JAZZ,87,96
2017-10-22 02:30:00+00:00,PHOENIX SUNS,LOS ANGELES CLIPPERS,88,130
2017-10-22 19:30:00+00:00,ATLANTA HAWKS,BROOKLYN NETS,104,116
2017-10-22 23:00:00+00:00,MINNESOTA TIMBERWOLVES,OKLAHOMA CITY THUNDER,115,113
2017-10-23 01:30:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES LAKERS,119,112
2017-10-23 23:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS,97,86
2017-10-23 23:30:00+00:00,ATLANTA HAWKS,MIAMI HEAT,93,104
2017-10-24 00:00:00+00:00,MEMPHIS GRIZZLIES,HOUSTON ROCKETS,98,90
2017-10-24 00:00:00+00:00,CHARLOTTE HORNETS,MILWAUKEE BUCKS,94,103
2017-10-24 00:30:00+00:00,GOLDEN STATE WARRIORS,DALLAS MAVERICKS,133,103
2017-10-24 00:30:00+00:00,TORONTO RAPTORS,SAN ANTONIO SPURS,97,101
2017-10-24 01:00:00+00:00,WASHINGTON WIZARDS,DENVER NUGGETS,109,104
2017-10-24 02:00:00+00:00,SACRAMENTO KINGS,PHOENIX SUNS,115,117
2017-10-24 23:00:00+00:00,CHICAGO BULLS,CLEVELAND CAVALIERS,112,119
2017-10-24 23:00:00+00:00,BROOKLYN NETS,ORLANDO MAGIC,121,125
2017-10-24 23:30:00+00:00,NEW YORK KNICKS,BOSTON CELTICS,89,110
2017-10-25 00:00:00+00:00,INDIANA PACERS,MINNESOTA TIMBERWOLVES,130,107
2017-10-25 02:00:00+00:00,NEW ORLEANS PELICANS,PORTLAND TRAIL BLAZERS,93,103
2017-10-25 02:30:00+00:00,UTAH JAZZ,LOS ANGELES CLIPPERS,84,102
2017-10-25 23:00:00+00:00,DENVER NUGGETS,CHARLOTTE HORNETS,93,110
2017-10-25 23:00:00+00:00,MINNESOTA TIMBERWOLVES,DETROIT PISTONS,101,122
2017-10-25 23:00:00+00:00,HOUSTON ROCKETS,PHILADELPHIA 76ERS,105,104
2017-10-25 23:30:00+00:00,CLEVELAND CAVALIERS,BROOKLYN NETS,107,112
2017-10-26 00:00:00+00:00,SAN ANTONIO SPURS,MIAMI HEAT,117,100
2017-10-26 00:00:00+00:00,INDIANA PACERS,OKLAHOMA CITY THUNDER,96,114
2017-10-26 00:30:00+00:00,MEMPHIS GRIZZLIES,DALLAS MAVERICKS,94,103
2017-10-26 02:00:00+00:00,UTAH JAZZ,PHOENIX SUNS,88,97
2017-10-26 02:30:00+00:00,TORONTO RAPTORS,GOLDEN STATE WARRIORS,112,117
2017-10-26 02:30:00+00:00,WASHINGTON WIZARDS,LOS ANGELES LAKERS,99,102
2017-10-27 00:00:00+00:00,ATLANTA HAWKS,CHICAGO BULLS,86,91
2017-10-27 00:00:00+00:00,DALLAS MAVERICKS,MEMPHIS GRIZZLIES,91,96
2017-10-27 00:00:00+00:00,BOSTON CELTICS,MILWAUKEE BUCKS,96,89
2017-10-27 02:00:00+00:00,LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,104,103
2017-10-27 02:30:00+00:00,NEW ORLEANS PELICANS,SACRAMENTO KINGS,114,106
2017-10-27 23:00:00+00:00,HOUSTON ROCKETS,CHARLOTTE HORNETS,109,93
2017-10-27 23:00:00+00:00,SAN ANTONIO SPURS,ORLANDO MAGIC,87,114
2017-10-27 23:30:00+00:00,DENVER NUGGETS,ATLANTA HAWKS,105,100
2017-10-27 23:30:00+00:00,BROOKLYN NETS,NEW YORK KNICKS,86,107
2017-10-28 00:00:00+00:00,OKLAHOMA CITY THUNDER,MINNESOTA TIMBERWOLVES,116,119
2017-10-28 02:30:00+00:00,WASHINGTON WIZARDS,GOLDEN STATE WARRIORS,117,120
2017-10-28 02:30:00+00:00,TORONTO RAPTORS,LOS ANGELES LAKERS,101,92
2017-10-28 23:00:00+00:00,CLEVELAND CAVALIERS,NEW ORLEANS PELICANS,101,123
2017-10-29 00:00:00+00:00,OKLAHOMA CITY THUNDER,CHICAGO BULLS,101,69
2017-10-29 00:00:00+00:00,HOUSTON ROCKETS,MEMPHIS GRIZZLIES,89,103
2017-10-29 00:00:00+00:00,BOSTON CELTICS,MIAMI HEAT,96,90
2017-10-29 00:30:00+00:00,PHILADELPHIA 76ERS,DALLAS MAVERICKS,112,110
2017-10-29 01:00:00+00:00,LOS ANGELES LAKERS,UTAH JAZZ,81,96
2017-10-29 02:00:00+00:00,PHOENIX SUNS,PORTLAND TRAIL BLAZERS,107,114
2017-10-29 02:30:00+00:00,DETROIT PISTONS,LOS ANGELES CLIPPERS,95,87
2017-10-29 19:30:00+00:00,MILWAUKEE BUCKS,ATLANTA HAWKS,117,106
2017-10-29 20:30:00+00:00,SAN ANTONIO SPURS,INDIANA PACERS,94,97
2017-10-29 22:00:00+00:00,DENVER NUGGETS,BROOKLYN NETS,124,111
2017-10-29 22:00:00+00:00,ORLANDO MAGIC,CHARLOTTE HORNETS,113,120
2017-10-29 22:00:00+00:00,WASHINGTON WIZARDS,SACRAMENTO KINGS,110,83
2017-10-29 23:00:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,114,95
2017-10-30 00:30:00+00:00,DETROIT PISTONS,GOLDEN STATE WARRIORS,115,107
2017-10-30 23:30:00+00:00,SAN ANTONIO SPURS,BOSTON CELTICS,94,108
2017-10-30 23:30:00+00:00,MINNESOTA TIMBERWOLVES,MIAMI HEAT,125,122
2017-10-30 23:30:00+00:00,DENVER NUGGETS,NEW YORK KNICKS,110,116
2017-10-31 00:00:00+00:00,PHILADELPHIA 76ERS,HOUSTON ROCKETS,115,107
2017-10-31 00:00:00+00:00,CHARLOTTE HORNETS,MEMPHIS GRIZZLIES,104,99
2017-10-31 00:00:00+00:00,ORLANDO MAGIC,NEW ORLEANS PELICANS,115,99
2017-10-31 01:00:00+00:00,DALLAS MAVERICKS,UTAH JAZZ,89,104
2017-10-31 02:00:00+00:00,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,99,85
2017-10-31 02:30:00+00:00,GOLDEN STATE WARRIORS,LOS ANGELES CLIPPERS,141,113
2017-10-31 23:00:00+00:00,SACRAMENTO KINGS,INDIANA PACERS,83,101
2017-10-31 23:30:00+00:00,PHOENIX SUNS,BROOKLYN NETS,122,114
2017-11-01 00:00:00+00:00,OKLAHOMA CITY THUNDER,MILWAUKEE BUCKS,110,91
2017-11-01 02:30:00+00:00,DETROIT PISTONS,LOS ANGELES LAKERS,93,113
2017-11-01 23:00:00+00:00,MILWAUKEE BUCKS,CHARLOTTE HORNETS,121,126
2017-11-01 23:00:00+00:00,INDIANA PACERS,CLEVELAND CAVALIERS,124,107
2017-11-01 23:00:00+00:00,ATLANTA HAWKS,PHILADELPHIA 76ERS,109,119
2017-11-01 23:00:00+00:00,PHOENIX SUNS,WASHINGTON WIZARDS,122,116
